poisons path,model,target class,base class,num poisons,max perturbation norm,epoch,loss,training_acc,natural_acc,poison_acc
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/41/,pretrained_models/ResNet18_CIFAR100.pth,4,5,500,1.0,39,0.6976905912160873,75.44,54.55,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/42/,pretrained_models/ResNet18_CIFAR100.pth,3,8,500,1.0,39,0.7502543807029725,72.72,51.38,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/43/,pretrained_models/ResNet18_CIFAR100.pth,1,7,500,1.0,39,0.6308159232139587,76.2,51.1,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/44/,pretrained_models/ResNet18_CIFAR100.pth,8,7,500,1.0,39,0.6650280237197876,74.4,51.49,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/45/,pretrained_models/ResNet18_CIFAR100.pth,0,6,500,1.0,39,0.7105415046215058,73.68,51.67,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/46/,pretrained_models/ResNet18_CIFAR100.pth,0,1,500,1.0,39,0.7529848098754883,73.08,52.05,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/47/,pretrained_models/ResNet18_CIFAR100.pth,2,9,500,1.0,39,0.78719562292099,71.16,50.98,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/48/,pretrained_models/ResNet18_CIFAR100.pth,8,6,500,1.0,39,0.6953517585992813,74.16,50.5,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/49/,pretrained_models/ResNet18_CIFAR100.pth,3,9,500,1.0,39,0.7681936204433442,72.4,51.03,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/5/,pretrained_models/ResNet18_CIFAR100.pth,0,1,500,1.0,39,0.7469449609518051,72.96,51.84,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/50/,pretrained_models/ResNet18_CIFAR100.pth,0,4,500,1.0,39,0.6705243676900864,75.0,53.36,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/51/,pretrained_models/ResNet18_CIFAR100.pth,7,1,500,1.0,39,0.7798521846532822,72.36,49.22,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/52/,pretrained_models/ResNet18_CIFAR100.pth,9,1,500,1.0,39,0.6221999645233154,77.8,61.44,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/53/,pretrained_models/ResNet18_CIFAR100.pth,8,0,500,1.0,39,0.6418809682130814,75.84,55.28,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/54/,pretrained_models/ResNet18_CIFAR100.pth,5,7,500,1.0,39,0.7100349247455597,74.08,53.23,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/55/,pretrained_models/ResNet18_CIFAR100.pth,0,1,500,1.0,39,0.7496632784605026,73.2,51.83,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/56/,pretrained_models/ResNet18_CIFAR100.pth,4,1,500,1.0,39,0.8077254205942154,70.48,49.44,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/57/,pretrained_models/ResNet18_CIFAR100.pth,9,3,500,1.0,39,0.5333668813109398,82.2,58.8,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/58/,pretrained_models/ResNet18_CIFAR100.pth,0,8,500,1.0,39,0.7083636194467544,74.4,55.45,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/59/,pretrained_models/ResNet18_CIFAR100.pth,0,5,500,1.0,39,0.6658778578042984,75.48,53.33,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/6/,pretrained_models/ResNet18_CIFAR100.pth,1,9,500,1.0,39,0.6582000374794006,75.32,55.48,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/60/,pretrained_models/ResNet18_CIFAR100.pth,3,9,500,1.0,39,0.7609378904104233,72.84,51.31,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/61/,pretrained_models/ResNet18_CIFAR100.pth,3,6,500,1.0,39,0.7328902989625931,73.76,53.81,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/62/,pretrained_models/ResNet18_CIFAR100.pth,8,4,500,1.0,39,0.6322087079286576,76.32,52.79,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/63/,pretrained_models/ResNet18_CIFAR100.pth,2,0,500,1.0,39,0.7147166132926941,73.88,55.29,False
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/64/,pretrained_models/ResNet18_CIFAR100.pth,1,5,500,1.0,39,0.6323172271251678,75.52,51.45,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/65/,pretrained_models/ResNet18_CIFAR100.pth,2,1,500,1.0,39,0.8078244596719741,70.76,49.34,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/66/,pretrained_models/ResNet18_CIFAR100.pth,3,1,500,1.0,39,0.8036953568458557,71.4,49.59,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/67/,pretrained_models/ResNet18_CIFAR100.pth,1,5,500,1.0,39,0.6275770545005799,76.4,51.56,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/68/,pretrained_models/ResNet18_CIFAR100.pth,8,0,500,1.0,39,0.6438101321458817,75.2,54.81,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/69/,pretrained_models/ResNet18_CIFAR100.pth,3,4,500,1.0,39,0.6944106936454773,74.8,54.85,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/7/,pretrained_models/ResNet18_CIFAR100.pth,4,6,500,1.0,39,0.7543597131967544,72.64,52.8,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/70/,pretrained_models/ResNet18_CIFAR100.pth,7,9,500,1.0,39,0.7438678950071335,73.32,51.16,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/71/,pretrained_models/ResNet18_CIFAR100.pth,8,7,500,1.0,39,0.6699985682964325,74.76,51.38,False
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/72/,pretrained_models/ResNet18_CIFAR100.pth,7,9,500,1.0,39,0.7374559283256531,72.56,51.34,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/73/,pretrained_models/ResNet18_CIFAR100.pth,4,6,500,1.0,39,0.7485818237066268,72.68,52.94,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/74/,pretrained_models/ResNet18_CIFAR100.pth,1,6,500,1.0,39,0.6555269554257392,75.0,49.13,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/75/,pretrained_models/ResNet18_CIFAR100.pth,2,4,500,1.0,39,0.7096254348754882,73.96,54.51,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/76/,pretrained_models/ResNet18_CIFAR100.pth,5,4,500,1.0,39,0.6903530299663544,74.08,53.3,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/77/,pretrained_models/ResNet18_CIFAR100.pth,3,7,500,1.0,39,0.7255344152450561,73.68,53.2,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/78/,pretrained_models/ResNet18_CIFAR100.pth,1,4,500,1.0,39,0.619713431596756,75.4,51.5,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/79/,pretrained_models/ResNet18_CIFAR100.pth,0,4,500,1.0,39,0.6514265537261963,76.32,53.41,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/8/,pretrained_models/ResNet18_CIFAR100.pth,8,9,500,1.0,39,0.5902398064732551,78.6,57.07,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/80/,pretrained_models/ResNet18_CIFAR100.pth,8,6,500,1.0,39,0.6885723888874054,74.2,50.77,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/81/,pretrained_models/ResNet18_CIFAR100.pth,9,2,500,1.0,39,0.5303451046347618,81.04,57.87,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/82/,pretrained_models/ResNet18_CIFAR100.pth,3,7,500,1.0,39,0.7314475178718567,73.92,53.24,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/83/,pretrained_models/ResNet18_CIFAR100.pth,4,2,500,1.0,39,0.6783188492059707,75.64,56.53,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/84/,pretrained_models/ResNet18_CIFAR100.pth,3,2,500,1.0,39,0.684610390663147,74.52,56.01,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/85/,pretrained_models/ResNet18_CIFAR100.pth,9,4,500,1.0,39,0.5490366011857987,81.24,56.62,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/86/,pretrained_models/ResNet18_CIFAR100.pth,8,4,500,1.0,39,0.6398652732372284,76.32,52.5,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/87/,pretrained_models/ResNet18_CIFAR100.pth,8,2,500,1.0,39,0.6129945814609528,77.24,53.68,False
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/88/,pretrained_models/ResNet18_CIFAR100.pth,9,0,500,1.0,39,0.5566671133041382,79.88,57.28,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/89/,pretrained_models/ResNet18_CIFAR100.pth,3,6,500,1.0,39,0.7456780344247818,72.56,53.88,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/9/,pretrained_models/ResNet18_CIFAR100.pth,4,0,500,1.0,39,0.7165750175714493,74.16,53.67,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/90/,pretrained_models/ResNet18_CIFAR100.pth,4,7,500,1.0,39,0.7054924935102462,74.08,57.04,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/91/,pretrained_models/ResNet18_CIFAR100.pth,7,4,500,1.0,39,0.6646522164344788,74.76,55.28,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/92/,pretrained_models/ResNet18_CIFAR100.pth,7,2,500,1.0,39,0.6569219619035721,75.08,54.72,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/93/,pretrained_models/ResNet18_CIFAR100.pth,5,0,500,1.0,39,0.7125645399093627,73.56,51.83,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/94/,pretrained_models/ResNet18_CIFAR100.pth,9,1,500,1.0,39,0.5982548907399178,79.64,61.93,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/95/,pretrained_models/ResNet18_CIFAR100.pth,6,3,500,1.0,39,0.6180669769644738,77.56,57.37,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/96/,pretrained_models/ResNet18_CIFAR100.pth,5,4,500,1.0,39,0.6904273182153702,74.16,52.92,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/97/,pretrained_models/ResNet18_CIFAR100.pth,9,4,500,1.0,39,0.5507344409823418,80.48,56.57,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/98/,pretrained_models/ResNet18_CIFAR100.pth,7,6,500,1.0,39,0.7301451861858368,72.68,51.18,True
poison_examples/cifar10-scratch/badnets-red/badnets_poisons/99/,pretrained_models/ResNet18_CIFAR100.pth,0,3,500,1.0,39,0.6364441901445389,76.84,55.69,False
