poisons path,model,target class,base class,num poisons,max perturbation norm,epoch,loss,training_acc,natural_acc,poison_acc
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/38/,pretrained_models/ResNet18_CIFAR100.pth,6,9,25,1.0,39,0.698986878991127,76.16,69.4,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/39/,pretrained_models/ResNet18_CIFAR100.pth,1,2,25,0.9960784316062927,39,0.6745381325483322,76.68,69.32,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/4/,pretrained_models/ResNet18_CIFAR100.pth,2,4,25,1.0,39,0.6696337699890137,76.64,69.78,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/40/,pretrained_models/ResNet18_CIFAR100.pth,2,1,25,1.0,39,0.6894813746213913,76.4,69.79,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/41/,pretrained_models/ResNet18_CIFAR100.pth,5,3,25,1.0,39,0.654701542854309,76.92,69.59,True
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/42/,pretrained_models/ResNet18_CIFAR100.pth,4,1,25,1.0,39,0.6972496449947357,75.84,69.68,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/43/,pretrained_models/ResNet18_CIFAR100.pth,2,1,25,1.0,39,0.6992410808801651,75.96,69.8,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/44/,pretrained_models/ResNet18_CIFAR100.pth,7,9,25,1.0,39,0.6884282737970352,76.4,69.49,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/45/,pretrained_models/ResNet18_CIFAR100.pth,6,1,25,1.0,39,0.6950033873319625,75.96,69.8,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/46/,pretrained_models/ResNet18_CIFAR100.pth,4,1,25,1.0,39,0.6900398820638657,76.0,69.6,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/47/,pretrained_models/ResNet18_CIFAR100.pth,3,2,25,1.0,39,0.6675514161586762,77.16,69.82,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/48/,pretrained_models/ResNet18_CIFAR100.pth,2,8,25,1.0,39,0.687577897310257,76.68,69.28,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/49/,pretrained_models/ResNet18_CIFAR100.pth,3,7,25,1.0,39,0.6745431154966355,76.24,69.67,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/5/,pretrained_models/ResNet18_CIFAR100.pth,7,9,25,1.0,39,0.6759495586156845,75.8,69.43,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/50/,pretrained_models/ResNet18_CIFAR100.pth,1,3,25,1.0,39,0.6862068563699723,76.56,69.55,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/51/,pretrained_models/ResNet18_CIFAR100.pth,6,9,25,1.0,39,0.6935061663389206,75.96,69.67,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/52/,pretrained_models/ResNet18_CIFAR100.pth,0,3,25,1.0,39,0.6885918229818344,76.2,69.61,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/53/,pretrained_models/ResNet18_CIFAR100.pth,4,5,25,1.0,39,0.6673372179269791,75.72,69.7,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/54/,pretrained_models/ResNet18_CIFAR100.pth,4,8,25,1.0,39,0.6925397366285324,75.92,69.19,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/55/,pretrained_models/ResNet18_CIFAR100.pth,7,3,25,1.0,39,0.6719519957900048,77.0,69.64,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/56/,pretrained_models/ResNet18_CIFAR100.pth,5,8,25,1.0,39,0.6838531762361526,76.8,69.59,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/57/,pretrained_models/ResNet18_CIFAR100.pth,5,1,25,1.0,39,0.6981120944023133,76.44,69.64,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/58/,pretrained_models/ResNet18_CIFAR100.pth,7,1,25,1.0,39,0.6936098277568817,75.16,69.38,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/59/,pretrained_models/ResNet18_CIFAR100.pth,5,0,25,1.0,39,0.6827697724103927,76.88,69.77,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/6/,pretrained_models/ResNet18_CIFAR100.pth,1,0,25,1.0,39,0.6854589015245438,77.12,69.55,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/60/,pretrained_models/ResNet18_CIFAR100.pth,4,6,25,1.0,39,0.6849525213241577,77.36,69.79,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/61/,pretrained_models/ResNet18_CIFAR100.pth,9,4,25,1.0,39,0.6958223074674607,76.08,69.47,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/62/,pretrained_models/ResNet18_CIFAR100.pth,0,7,25,1.0,39,0.6841632932424545,76.56,69.86,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/63/,pretrained_models/ResNet18_CIFAR100.pth,3,9,25,1.0,39,0.6940412104129792,75.92,69.7,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/64/,pretrained_models/ResNet18_CIFAR100.pth,9,8,25,1.0,39,0.6869101971387863,76.08,69.65,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/65/,pretrained_models/ResNet18_CIFAR100.pth,4,0,25,0.9960784316062927,39,0.6790622591972351,76.88,69.74,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/66/,pretrained_models/ResNet18_CIFAR100.pth,4,0,25,1.0,39,0.681509917974472,75.84,69.65,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/67/,pretrained_models/ResNet18_CIFAR100.pth,4,6,25,1.0,39,0.6874305188655854,77.2,69.87,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/68/,pretrained_models/ResNet18_CIFAR100.pth,9,5,25,1.0,39,0.6925205916166306,76.12,69.51,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/69/,pretrained_models/ResNet18_CIFAR100.pth,4,2,25,1.0,39,0.6546000927686692,76.84,69.64,True
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/7/,pretrained_models/ResNet18_CIFAR100.pth,8,4,25,1.0,39,0.6865073204040527,76.08,69.42,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/70/,pretrained_models/ResNet18_CIFAR100.pth,4,9,25,1.0,39,0.6931473463773727,76.68,69.6,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/71/,pretrained_models/ResNet18_CIFAR100.pth,5,1,25,1.0,39,0.6981812387704849,75.52,69.44,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/72/,pretrained_models/ResNet18_CIFAR100.pth,6,1,25,1.0,39,0.6868834078311921,75.84,69.69,False
