poisons path,model,target class,base class,num poisons,max perturbation norm,epoch,loss,training_acc,natural_acc,poison_acc
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/22/,pretrained_models/VGG11_CIFAR100.pth,3,4,25,1.0,39,0.547234320640564,81.68,66.17,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/22/,pretrained_models/MobileNetV2_CIFAR100.pth,3,4,25,1.0,39,0.6838263079524041,76.32,68.95,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/23/,pretrained_models/VGG11_CIFAR100.pth,2,3,25,1.0,39,0.541181044280529,83.08,66.33,True
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/23/,pretrained_models/MobileNetV2_CIFAR100.pth,2,3,25,1.0,39,0.6593731015920639,76.8,69.15,True
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/24/,pretrained_models/VGG11_CIFAR100.pth,2,5,25,1.0,39,0.5522931590676308,82.0,66.44,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/24/,pretrained_models/MobileNetV2_CIFAR100.pth,2,5,25,1.0,39,0.6715178966522217,76.8,69.25,True
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/25/,pretrained_models/VGG11_CIFAR100.pth,8,4,25,0.9882352948188782,39,0.5544286638498306,82.16,66.21,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/25/,pretrained_models/MobileNetV2_CIFAR100.pth,8,4,25,0.9882352948188782,39,0.6797872871160507,76.84,68.95,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/26/,pretrained_models/VGG11_CIFAR100.pth,4,2,25,1.0,39,0.5389245897531509,82.92,66.34,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/26/,pretrained_models/MobileNetV2_CIFAR100.pth,4,2,25,1.0,39,0.6548079669475555,76.68,69.05,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/27/,pretrained_models/VGG11_CIFAR100.pth,2,1,25,1.0,39,0.5691919639706612,80.68,66.63,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/27/,pretrained_models/MobileNetV2_CIFAR100.pth,2,1,25,1.0,39,0.6903550386428833,75.8,68.8,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/28/,pretrained_models/VGG11_CIFAR100.pth,7,8,25,1.0,39,0.573794512450695,81.2,66.07,True
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/28/,pretrained_models/MobileNetV2_CIFAR100.pth,7,8,25,1.0,39,0.6979513525962829,75.92,69.03,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/29/,pretrained_models/VGG11_CIFAR100.pth,8,5,25,1.0,39,0.5640757292509079,82.12,66.32,True
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/29/,pretrained_models/MobileNetV2_CIFAR100.pth,8,5,25,1.0,39,0.6786735087633133,76.16,68.62,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/3/,pretrained_models/VGG11_CIFAR100.pth,6,3,25,1.0,39,0.5394948184490204,82.48,66.38,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/3/,pretrained_models/MobileNetV2_CIFAR100.pth,6,3,25,1.0,39,0.6596405506134033,76.16,69.04,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/30/,pretrained_models/VGG11_CIFAR100.pth,6,2,25,1.0,39,0.5349745258688927,83.0,66.17,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/30/,pretrained_models/MobileNetV2_CIFAR100.pth,6,2,25,1.0,39,0.6475618481636047,76.88,69.05,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/31/,pretrained_models/VGG11_CIFAR100.pth,4,7,25,1.0,39,0.5585497796535492,81.52,66.15,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/31/,pretrained_models/MobileNetV2_CIFAR100.pth,4,7,25,1.0,39,0.6595841944217682,76.92,68.89,True
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/32/,pretrained_models/VGG11_CIFAR100.pth,0,8,25,1.0,39,0.5438350036740303,82.48,66.22,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/32/,pretrained_models/MobileNetV2_CIFAR100.pth,0,8,25,1.0,39,0.6621891051530838,75.88,68.96,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/33/,pretrained_models/VGG11_CIFAR100.pth,2,8,25,1.0,39,0.5720717817544937,81.04,65.92,False
